id,year,price
1,2024,201132.0
1,2023,200646.1133864969
1,2022,194900.81335391267
1,2021,187563.7240993918
1,2020,182151.5062860525
1,2019,183907.08016229293
1,2018,186762.44496672406
1,2017,185361.2146463115
1,2016,187216.96417051033
1,2015,180319.84047378652
1,2014,171928.79726127844
1,2013,170605.10003674458
1,2012,167900.77240354533
1,2011,167892.44593621502
1,2010,170471.2288905221
1,2009,166011.50704812747
1,2008,170353.17269453604
1,2007,162651.08302115987
1,2006,162563.08281667216
1,2005,164932.000818752
1,2004,156838.1657829893
1,2003,157571.00786621973
1,2002,158575.96309587057
1,2001,161364.02135145024
1,2000,166196.3551314559
1,1999,160681.94485161063
1,1998,156587.41381237164
1,1997,153402.45034428602
1,1996,148369.61167630582
1,1995,152789.01846685068
1,1994,145955.84689873236
1,1993,149677.03431969427
1,1992,143150.51104831178
1,1991,136723.38500676298
1,1990,137521.80159066562
1,1989,141523.03983619984
1,1988,139902.1718534882
1,1987,143426.06866549753
1,1986,140820.7092434634
1,1985,144411.65234878208
1,1984,143341.95422286808
1,1983,137774.13653044426
1,1982,137353.51861993232
1,1981,132991.082265003
1,1980,126813.61272465074
1,1979,128515.80224953062
1,1978,123527.72251980125
1,1977,120403.78711380168
1,1976,123773.74101180113
1,1975,121405.69905268225
1,1974,118146.03152627636
1,1973,115916.45520373994
1,1972,111718.16123205156
2,2024,216307.0
2,2023,221010.44542261166
2,2022,214282.1003927237
2,2021,210175.59982717433
2,2020,206133.62432105673
2,2019,208494.78563707948
2,2018,212744.8046113451
2,2017,217904.78776600256
2,2016,222477.2782625121
2,2015,211729.58747679845
2,2014,210460.3851515195
2,2013,213628.37423219814
2,2012,219256.63846170736
2,2011,211599.83379819978
2,2010,213802.63262967634
2,2009,210756.27190893525
2,2008,207453.9406113523
2,2007,203166.72563515746
2,2006,194424.5042606016
2,2005,190262.90988911607
2,2004,194584.29670079765
2,2003,189631.92105682875
2,2002,189022.2641549794
2,2001,190935.00487979507
2,2000,195693.7659546107
2,1999,199185.42824766552
2,1998,201045.850328441
2,1997,206775.43428459586
2,1996,205400.4021119638
2,1995,201527.1065721743
2,1994,202991.83401929916
3,2024,215501.0
3,2023,205888.24307770372
3,2022,197212.9862027843
3,2021,194829.27359810448
3,2020,185421.30623177288
3,2019,187580.52072038632
3,2018,188810.85114373168
4,2024,265098.0
4,2023,262803.7391031759
4,2022,265774.1914890425
4,2021,258446.11553142316
4,2020,250807.63059785854
4,2019,255264.22511102995
4,2018,257588.0737464226
4,2017,255622.54858380117
4,2016,260873.5533502469
4,2015,253196.62422538488
4,2014,256912.4443447165
4,2013,247325.7299856755
4,2012,244102.4609945984
4,2011,233543.06215142802
4,2010,237849.14113493162
4,2009,241863.5175240867
4,2008,235059.62146262213
4,2007,228099.46413129978
4,2006,229262.44344463715
4,2005,235333.7570754984
4,2004,232921.46228662156
4,2003,232795.64761007205
4,2002,235045.0825750542
4,2001,237436.41852085275
4,2000,240481.84913747865
4,1999,237340.77248802353
4,1998,244181.14515781836
4,1997,236989.20917366413
4,1996,236108.51529561426
4,1995,229639.19951498427
